age,co2,lower,higher,reference,paper,co2_lower,co2_higher
1.0886900000000002,257.79,31.05,27.12,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),226.74,284.91
1.09003,223.46,24.86,22.67,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),198.60000000000002,246.13
1.09267,242.14,28.26,25.54,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),213.88,267.68
1.09471,251.16,30.96,26.88,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),220.2,278.04
1.09946,320.95,39.69,33.75,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),281.26,354.7
1.1024200000000002,301.81,36.05,32.6,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),265.76,334.41
1.1031600000000001,286.05,38.76,33.81,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),247.29000000000002,319.86
1.1062,246.55,27.48,24.84,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),219.07000000000002,271.39
1.10782,262.51,31.08,27.72,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),231.43,290.23
1.1103,284.02,33.26,30.19,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),250.76,314.21
1.1128,246.21,28.14,26.09,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),218.07,272.3
1.11526,227.64,26.65,24.04,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),200.98999999999998,251.67999999999998
1.1178599999999999,215.33,24.03,21.61,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),191.3,236.94
1.1203599999999998,248.31,27.33,24.69,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),220.98000000000002,273
1.12309,205.25,22.59,21.25,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),182.66,226.5
1.1260599999999998,246.43,29.02,26.76,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),217.41,273.19
1.12781,244.73,29.62,27.08,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),215.10999999999999,271.81
1.13097,249.59,28.55,25.97,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),221.04,275.56
1.1365699999999999,291.67,34.3,29.86,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),257.37,321.53000000000003
1.1400299999999999,305.43,37.85,33.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),267.58,338.66
1.14323,278.14,35.69,31.87,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),242.45,310.01
1.14533,295.74,38.82,33.68,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),256.92,329.42
1.1489,310.44,47.37,39.87,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),263.07,350.31
1.15094,260.5,34.06,29.86,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),226.44,290.36
1.1540899999999998,248.05,31.16,27.95,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),216.89000000000001,276
1.15777,299.72,38.19,34.12,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),261.53000000000003,333.84000000000003
1.16073,307.68,39.38,35.49,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),268.3,343.17
1.16285,275.14,33.12,29.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),242.01999999999998,304.37
1.16986,283.63,33.15,30.07,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),250.48,313.7
1.17757,273.2,33.87,30.39,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),239.32999999999998,303.59
1.1796600000000002,263.28,32.4,29.43,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),230.87999999999997,292.71
1.18175,233.36,27.09,24.5,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),206.27,257.86
1.18406,226.28,27.11,23.81,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),199.17000000000002,250.09
1.18597,257.13,30.73,28.03,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),226.4,285.15999999999997
1.18807,265.36,31.66,28.28,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),233.70000000000002,293.64
1.1913099999999999,215.8,24.29,22.66,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),191.51000000000002,238.46
1.1951500000000002,208.27,25.13,22.81,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),183.14000000000001,231.08
1.20326,195.5,22.3,20.35,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),173.2,215.85
1.20676,219.15,25.18,22.27,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),193.97,241.42000000000002
1.20999,238.88,29.19,26,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),209.69,264.88
1.21448,287.94,36.15,31.25,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),251.79,319.19
1.21642,272.15,34.24,30.64,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),237.90999999999997,302.78999999999996
1.21854,298.36,38.23,34.07,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),260.13,332.43
1.22418,255.14,33.4,29.55,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),221.73999999999998,284.69
1.22717,271.52,35.04,30.6,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),236.48,302.12
1.23072,312.45,43.09,37.1,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),269.36,349.55
1.2339,295.82,37.79,33.14,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),258.03,328.96
1.23618,262.84,31.53,27.71,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),231.30999999999997,290.54999999999995
1.23983,269.3,33.06,29.43,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),236.24,298.73
1.24325,292.57,34.63,30.69,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),257.94,323.26
2.3686100000000003,429.64,82.6,66.86,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),347.03999999999996,496.5
1.384,213.78,20.92,20.27,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),192.86,234.05
1.39267,282.13,34.23,32.13,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),247.9,314.26
1.39733,271.13,27.41,26.21,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),243.72,297.34
1.402,320.14,37.96,35.12,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),282.18,355.26
1.408,326.76,57.86,50.61,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),268.9,377.37
1.414,260.39,26.7,25.56,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),233.69,285.95
1.42,200.67,23.4,22.34,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),177.26999999999998,223.01
1.42517,234.17,24.27,23.29,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),209.89999999999998,257.46
1.4303299999999999,225.69,26.35,24.99,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),199.34,250.68
1.4355,241.79,44.36,38.8,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),197.43,280.59
1.4406700000000001,284.8,30.63,29.1,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),254.17000000000002,313.90000000000003
1.44583,286.57,35.2,32.99,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),251.37,319.56
1.45103,256.37,44.71,39.48,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),211.66,295.85
1.45552,237.01,25.64,24.5,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),211.37,261.51
1.4593800000000001,260.6,27.42,26.21,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),233.18,286.81
1.46452,248.79,25.03,24.04,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),223.76,272.83
1.47351,278.44,28.13,26.81,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),250.31,305.25
1.47801,271.81,27.58,26.35,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),244.23000000000002,298.16
1.4825,226.46,21.92,21.12,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),204.54000000000002,247.58
1.49,292.14,29.75,28.35,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),262.39,320.49
1.493,214.47,20.98,20.3,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),193.49,234.77
1.4964300000000001,200.9,20.32,19.6,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),180.58,220.5
1.499,223.7,20.78,20.08,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),202.92,243.77999999999997
1.50233,182.85,18.23,17.88,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),164.62,200.73
1.50567,249,23.88,22.96,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),225.12,271.96
1.509,276.55,28.99,27.65,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),247.56,304.2
1.51233,223.16,22.89,22.01,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),200.26999999999998,245.17
1.51567,298.81,32.32,30.53,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),266.49,329.34000000000003
1.519,277.84,29.79,28.34,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),248.04999999999998,306.17999999999995
1.52233,283.56,33.3,31.39,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),250.26,314.95
1.52567,305.85,31.34,29.69,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),274.51000000000005,335.54
1.529,255.74,24.38,23.44,"Dyez, K.A., Hönisch, B. and Schmidt, G.A. (2018) Early Pleistocene Obliquity-Scale pCO2 Variability at ~1.5 Million Years Ago. Paleoceanography and Paleoclimatology 33",Dyez et al. (2018),231.36,279.18
